Series,Episode_Title,Action,Image_URL,description,linked,year
Season_1,An Unearthly Child,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1963
Season_1,The Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1963
Season_1,The Edge of Destruction,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_1,Marco Polo,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_1,The Keys of Marinus,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_1,The Aztecs,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_1,The Sensorites,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_1,The Reign of Terror,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_2,Planet of Giants,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_2,The Dalek Invasion of Earth,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1964
Season_2,The Rescue,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Romans,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Web Planet,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Crusade,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Space Museum,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Chase,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_2,The Time Meddler,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_3,Galaxy 4,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_3,Mission to the Unknown,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_3,The Myth Makers,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_3,The Daleks' Master Plan,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1965
Season_3,The Massacre of St. Bartholomew's Eve,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_3,The Ark,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_3,The Celestial Toymaker,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_3,The Gunfighters,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_3,The Savages,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_3,The War Machines,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_4,The Smugglers,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_4,The Tenth Planet,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_4,The Power of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_4,The Highlanders,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1966
Season_4,The Underwater Menace,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_4,The Moonbase,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_4,The Macra Terror,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_4,The Faceless Ones,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_4,The Evil of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_5,The Tomb of the Cybermen,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_5,The Abominable Snowmen,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_5,The Ice Warriors,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_5,The Enemy of the World,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1967
Season_5,The Web of Fear,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_5,Fury from the Deep,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_5,The Wheel in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_6,The Dominators,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_6,The Mind Robber,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_6,The Invasion,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_6,The Krotons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1968
Season_6,The Seeds of Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1969
Season_6,The Space Pirates,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1969
Season_6,The War Games,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1969
Season_7,Spearhead from Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1970
Season_7,Doctor Who and the Silurians,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1970
Season_7,The Ambassadors of Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1970
Season_7,Inferno,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1970
Season_8,Terror of the Autons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_8,The Mind of Evil,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_8,The Claws of Axos,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_8,Colony in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_8,The Dæmons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1971
Season_9,Day of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Curse of Peladon,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Sea Devils,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Mutants,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_9,The Time Monster,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_10,The Three Doctors,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1972
Season_10,Carnival of Monsters,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,Frontier in Space,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,Planet of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_10,The Green Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1973
Season_11,The Time Warrior,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1974
